ticket,accuracy,precision,recall,f1_score,sample_size,num_interesting_bets,num_possible_bets
JBHT,0.840625,0.2857142857142857,0.020202020202020204,0.03773584905660377,640,7,99
ANSS,0.8821292775665399,0.2857142857142857,0.03389830508474576,0.060606060606060594,526,7,59
COF,0.8841940532081377,0.2857142857142857,0.028169014084507043,0.05128205128205127,639,7,71
ISRG,0.871875,0.2857142857142857,0.1875,0.22641509433962265,640,42,64
CCL,0.6796875,0.28169014084507044,0.11494252873563218,0.16326530612244897,640,71,174
LYB,0.837245696400626,0.2807017543859649,0.20253164556962025,0.23529411764705882,639,57,79
BKNG,0.8580645161290322,0.28,0.12727272727272726,0.175,465,25,55
NCLH,0.671875,0.27927927927927926,0.19254658385093168,0.22794117647058823,640,111,161
CE,0.8140625,0.2777777777777778,0.0970873786407767,0.14388489208633093,640,36,103
TTWO,0.8109375,0.275,0.10679611650485436,0.15384615384615385,640,40,103
SWKS,0.80625,0.275,0.10377358490566038,0.15068493150684933,640,40,106
CF,0.7339593114241002,0.2727272727272727,0.08,0.12371134020618556,639,44,150
MGM,0.8375,0.2727272727272727,0.030303030303030304,0.05454545454545456,640,11,99
TER,0.8015625,0.2702702702702703,0.09090909090909091,0.13605442176870747,640,37,110
COP,0.8265625,0.2692307692307692,0.16091954022988506,0.20143884892086333,640,52,87
HAL,0.6932707355242567,0.2692307692307692,0.4375,0.33333333333333337,639,182,112
INTC,0.8390625,0.26666666666666666,0.0898876404494382,0.13445378151260504,640,30,89
NKE,0.8921875,0.26666666666666666,0.06451612903225806,0.1038961038961039,640,15,62
NTAP,0.840625,0.2647058823529412,0.10465116279069768,0.15,640,34,86
MOS,0.7375,0.2647058823529412,0.05921052631578947,0.0967741935483871,640,34,152
CDAY,0.6625,0.2619047619047619,0.21153846153846154,0.2340425531914894,640,126,156
WDC,0.8203125,0.2608695652173913,0.057692307692307696,0.09448818897637795,640,23,104
LYV,0.7120500782472613,0.26,0.08125,0.12380952380952381,639,50,160
PFG,0.925,0.25,0.021739130434782608,0.04,640,4,46
VTRS,0.8765625,0.25,0.0410958904109589,0.07058823529411765,640,12,73
ADM,0.8716744913928013,0.25,0.16129032258064516,0.19607843137254902,639,40,62
WST,0.8190630048465266,0.25,0.049019607843137254,0.0819672131147541,619,20,102
KR,0.9171875,0.25,0.04081632653061224,0.07017543859649122,640,8,49
AWK,0.9217527386541471,0.25,0.06818181818181818,0.10714285714285714,639,12,44
DOV,0.9375,0.25,0.02631578947368421,0.04761904761904762,640,4,38
OGN,0.90625,0.25,0.017241379310344827,0.03225806451612903,640,4,58
BXP,0.8578125,0.25,0.011235955056179775,0.02150537634408602,640,4,89
MPWR,0.6852589641434262,0.24096385542168675,0.17391304347826086,0.202020202020202,502,83,115
EL,0.7574334898278561,0.24050632911392406,0.16666666666666666,0.19689119170984454,639,79,114
EFX,0.8262910798122066,0.2391304347826087,0.12643678160919541,0.16541353383458648,639,46,87
STE,0.8674496644295302,0.23809523809523808,0.17543859649122806,0.20202020202020202,596,42,57
AAL,0.759375,0.23636363636363636,0.104,0.14444444444444443,640,55,125
DXC,0.859375,0.23076923076923078,0.07894736842105263,0.11764705882352941,640,26,76
F,0.9,0.23076923076923078,0.05263157894736842,0.08571428571428572,640,13,57
TXT,0.9371980676328503,0.23076923076923078,0.09375,0.13333333333333333,621,13,32
POOL,0.7453027139874739,0.22972972972972974,0.2073170731707317,0.21794871794871795,479,74,82
DPZ,0.8588235294117647,0.22727272727272727,0.06944444444444445,0.10638297872340427,595,22,72
PKI,0.8384491114701131,0.22727272727272727,0.13157894736842105,0.16666666666666666,619,44,76
MPC,0.7328125,0.2230769230769231,0.29292929292929293,0.2532751091703057,640,130,99
CDNS,0.865625,0.2222222222222222,0.024691358024691357,0.044444444444444446,640,9,81
BLK,0.878125,0.2222222222222222,0.0273972602739726,0.04878048780487805,640,9,73
NOW,0.8075117370892019,0.2222222222222222,0.035398230088495575,0.06106870229007633,639,18,113
CHTR,0.784037558685446,0.2222222222222222,0.015037593984962405,0.028169014084507043,639,9,133
NOC,0.9235772357723577,0.2222222222222222,0.10810810810810811,0.14545454545454545,615,18,37
J,0.8693548387096774,0.2222222222222222,0.056338028169014086,0.08988764044943821,620,18,71
UNH,0.921875,0.2222222222222222,0.044444444444444446,0.07407407407407407,640,9,45
DISH,0.653125,0.2206896551724138,0.22695035460992907,0.22377622377622378,640,145,141
SJM,0.8890625,0.22,0.2558139534883721,0.23655913978494625,640,50,43
UHS,0.88125,0.21951219512195122,0.16981132075471697,0.19148936170212766,640,41,53
BIO,0.7881040892193308,0.21739130434782608,0.11363636363636363,0.1492537313432836,269,23,44
AMD,0.759375,0.21568627450980393,0.088,0.125,640,51,125
JCI,0.9154929577464789,0.21428571428571427,0.06521739130434782,0.1,639,14,46
PARA,0.690625,0.21238938053097345,0.18045112781954886,0.1951219512195122,640,113,133
AOS,0.8609375,0.2,0.10294117647058823,0.13592233009708737,640,35,68
O,0.8935837245696401,0.2,0.12,0.15,639,30,50
MSCI,0.7946666666666666,0.2,0.18,0.1894736842105263,375,45,50
BWA,0.9,0.2,0.07692307692307693,0.1111111111111111,640,20,52
CMI,0.918622848200313,0.2,0.06976744186046512,0.10344827586206895,639,15,43
LVS,0.8528951486697965,0.2,0.01098901098901099,0.02083333333333334,639,5,91
PEAK,0.9265625,0.2,0.04878048780487805,0.07843137254901962,640,10,41
CTLT,0.4381846635367762,0.19536423841059603,0.33714285714285713,0.24737945492662472,639,302,175
INCY,0.9107438016528926,0.1935483870967742,0.17142857142857143,0.1818181818181818,605,31,35
PXD,0.7875,0.1891891891891892,0.061946902654867256,0.09333333333333334,640,37,113
PPG,0.8967136150234741,0.1891891891891892,0.16279069767441862,0.17500000000000002,639,37,43
EQIX,0.8909395973154363,0.1891891891891892,0.16666666666666666,0.1772151898734177,596,37,42
TSCO,0.8734375,0.1875,0.04225352112676056,0.06896551724137931,640,16,71
MCK,0.9203125,0.1875,0.07317073170731707,0.10526315789473682,640,16,41
EPAM,0.6982968369829684,0.18604651162790697,0.08247422680412371,0.1142857142857143,411,43,97
NEE,0.9171875,0.18518518518518517,0.1388888888888889,0.15873015873015875,640,27,36
ZTS,0.8888888888888888,0.18181818181818182,0.12,0.14457831325301204,639,33,50
CSX,0.9046875,0.18181818181818182,0.037037037037037035,0.061538461538461535,640,11,54
CMS,0.9154929577464789,0.17857142857142858,0.1388888888888889,0.15625000000000003,639,28,36
HD,0.8828125,0.1774193548387097,0.3142857142857143,0.2268041237113402,640,62,35
IP,0.925,0.17647058823529413,0.08108108108108109,0.11111111111111113,640,17,37
PVH,0.7390625,0.17647058823529413,0.0975609756097561,0.12565445026178013,640,68,123
