ticket,accuracy_low_model,accuracy_high_model,precision_low_model,precision_high_model,sample_size,p_success_strategy,num_interesting_bets
ROP,0.8255813953488372,0.8074935400516796,0.8255813953488372,0.6,774,0.6,10
EMR,0.791025641025641,0.7846153846153846,0.7913950456323338,0.6111111111111112,780,0.2,5
ETN,0.7974358974358975,0.7487179487179487,0.8013071895424837,0.625,780,1.0,1
ITW,0.8256410256410256,0.8269230769230769,0.8273195876288659,0.8,780,1.0,1
GE,0.7846153846153846,0.7871794871794872,0.7929226736566186,0.5882352941176471,780,0.0,0
MMM,0.8384615384615385,0.8641025641025641,0.8384615384615385,0.0,780,0.0,0
HON,0.8012820512820513,0.7871794871794872,0.8054474708171206,0.47058823529411764,780,0.0,8
TAP,0.7846153846153846,0.8025641025641026,0.7926509186351706,0.75,780,0.0,0
KR,0.8282051282051283,0.8205128205128205,0.8320413436692506,0.7777777777777778,780,0.6666666666666666,3
SYY,0.765034965034965,0.7888111888111888,0.7689015691868759,0.4,715,0.0,1
TSN,0.8115384615384615,0.8602564102564103,0.8171206225680934,0.5,780,0.2857142857142857,7
ADM,0.7806267806267806,0.8062678062678063,0.7922848664688428,0.5625,702,0.26666666666666666,15
BF-B,0.8602564102564103,0.8807692307692307,0.8656330749354005,0.6666666666666666,780,0.0,0
STZ,0.8547557840616966,0.8753213367609255,0.8602846054333765,0.4,778,0.4,5
HSY,0.8470437017994858,0.8663239074550129,0.85546875,0.5714285714285714,778,0.0,4
MDLZ,0.8415841584158416,0.8712871287128713,0.844062947067239,0.3333333333333333,707,1.0,1
LW,0.8141025641025641,0.8358974358974359,0.8161953727506427,0.75,780,0.5,6
SJM,0.8717948717948718,0.882051282051282,0.8754863813229572,0.36363636363636365,780,0.0,2
CPB,0.8474358974358974,0.8641025641025641,0.8517555266579974,0.5333333333333333,780,0.0,4
CAG,0.8538461538461538,0.8576923076923076,0.8565891472868217,0.5714285714285714,780,0.0,1
MKC,0.8179487179487179,0.8205128205128205,0.8204134366925064,0.8,780,0.0,0
K,0.8166666666666667,0.8397435897435898,0.8267195767195767,0.6,780,0.0,2
HRL,0.8987179487179487,0.9012820512820513,0.9006451612903226,0.5714285714285714,780,0.5,2
GIS,0.8743589743589744,0.8807692307692307,0.8748387096774194,0.5,780,0.2857142857142857,7
KHC,0.8294871794871795,0.8282051282051283,0.8296774193548387,0.4,780,0.0,0
MO,0.8269230769230769,0.8833333333333333,0.8305304010349288,0.5714285714285714,780,0.0,0
PM,0.8551282051282051,0.867948717948718,0.861038961038961,0.6,780,0.0,0
NWL,0.6243589743589744,0.6525641025641026,0.625,0.65625,780,1.0,1
CLX,0.7653846153846153,0.767948717948718,0.7707509881422925,0.5862068965517241,780,0.25,8
CHD,0.7602564102564102,0.8038461538461539,0.7639429312581063,0.625,780,0.0,0
KMB,0.8782051282051282,0.9025641025641026,0.8835705045278137,0.75,780,1.0,1
CL,0.8448717948717949,0.8717948717948718,0.8488372093023255,0.75,780,0.0,0
EL,0.7,0.6884615384615385,0.7057949479940565,0.5192307692307693,780,0.3888888888888889,18
PG,0.8666666666666667,0.8846153846153846,0.8715953307392996,0.8333333333333334,780,0.0,0
MNST,0.8111587982832618,0.821173104434907,0.8165938864628821,0.6,699,0.0,1
KDP,0.8358974358974359,0.8423076923076923,0.838501291989664,0.3,780,0.5,4
PEP,0.8666666666666667,0.8897435897435897,0.8696774193548387,0.5714285714285714,780,0.0,2
KO,0.8897435897435897,0.908974358974359,0.8918918918918919,0.42857142857142855,780,0.0,4
DLTR,0.7807692307692308,0.7782051282051282,0.7846952010376135,0.7777777777777778,780,0.0,0
DG,0.8307692307692308,0.8423076923076923,0.8385416666666666,0.4,780,0.0,4
TGT,0.7307692307692307,0.7551282051282051,0.7340286831812256,0.5454545454545454,780,0.0,0
COST,0.7846153846153846,0.7987179487179488,0.7898172323759791,0.6666666666666666,780,0.5,2
WMT,0.8833333333333333,0.9051282051282051,0.8833333333333333,1.0,780,0.5,2
TPR,0.6166666666666667,0.658974358974359,0.6148825065274152,0.8181818181818182,780,0.0,2
KMX,0.617948717948718,0.541025641025641,0.6294706723891274,0.5625,780,0.0,0
ROL,0.782051282051282,0.767948717948718,0.7854356306892067,0.7692307692307693,780,0.0,3
MHK,0.6089743589743589,0.658974358974359,0.6065789473684211,0.5,780,0.0,3
FBHS,0.6474358974358975,0.676923076923077,0.6488250652741514,0.631578947368421,780,0.2,5
WHR,0.7051282051282052,0.6628205128205128,0.7086614173228346,0.5384615384615384,780,0.0,0
HAS,0.7410256410256411,0.7769230769230769,0.7454308093994778,0.6470588235294118,780,1.0,3
POOL,0.6631578947368421,0.6381578947368421,0.664,0.5454545454545454,760,0.3333333333333333,12
PVH,0.6401028277634961,0.6542416452442159,0.6432360742705571,0.5909090909090909,778,0.16666666666666666,6
RL,0.6576923076923077,0.6435897435897436,0.6585051546391752,0.7272727272727273,780,0.5714285714285714,7
VFC,0.6243589743589744,0.6410256410256411,0.6353276353276354,0.6486486486486487,780,0.5,4
BWA,0.7474358974358974,0.7153846153846154,0.7546174142480211,0.5217391304347826,780,0.5,2
LKQ,0.782051282051282,0.7884615384615384,0.7867549668874172,0.55,780,0.0,0
APTV,0.65,0.6410256410256411,0.6510695187165776,0.7272727272727273,780,0.6,5
PENN,0.558974358974359,0.5474358974358975,0.5464949928469242,0.6527777777777778,780,0.375,8
WYNN,0.5858974358974359,0.6076923076923076,0.5842696629213483,0.6814814814814815,780,0.0,0
CZR,0.5551282051282052,0.5461538461538461,0.5242369838420108,0.655,780,0.0,1
MGM,0.6102564102564103,0.6025641025641025,0.6130867709815079,0.6197183098591549,780,0.0,0
LVS,0.6256410256410256,0.6384615384615384,0.6219336219336219,0.7692307692307693,780,0.2857142857142857,7
PHM,0.6564102564102564,0.691025641025641,0.6613545816733067,0.6486486486486487,780,0.3,10
NVR,0.5321252059308073,0.7232289950576606,0.5153153153153153,0.5333333333333333,607,0.5714285714285714,7
LEN,0.6641025641025641,0.691025641025641,0.6622864651773982,0.7307692307692307,780,0.6363636363636364,11
DHI,0.6243589743589744,0.6564102564102564,0.6287978863936592,0.875,780,0.4444444444444444,9
HLT,0.6948717948717948,0.7384615384615385,0.7040417209908736,0.43333333333333335,780,0.29411764705882354,17
MAR,0.7128205128205128,0.7333333333333333,0.715046604527297,0.625,780,0.6666666666666666,3
SEE,0.7205128205128205,0.7217948717948718,0.7224383916990921,0.5833333333333334,780,0.5,4
WRK,0.7448717948717949,0.7576923076923077,0.7513089005235603,0.5,780,0.0,1
PKG,0.7756410256410257,0.75,0.7802340702210663,0.75,780,0.0,0
IP,0.7628205128205128,0.7743589743589744,0.7686274509803922,0.7222222222222222,780,0.0,3
AMCR,0.8025641025641026,0.8153846153846154,0.8070404172099087,0.6363636363636364,780,0.5,2
BALL,0.6641025641025641,0.6435897435897436,0.6693548387096774,0.7083333333333334,780,1.0,1
ROST,0.6987179487179487,0.7,0.7023498694516971,0.6363636363636364,780,0.2,10
TJX,0.7538461538461538,0.7525641025641026,0.7532299741602068,0.6,780,0.42105263157894735,19
NCLH,0.5551282051282052,0.5230769230769231,0.0,0.5230769230769231,780,0.0,0
RCL,0.5948717948717949,0.5756410256410256,0.6054054054054054,0.5981012658227848,780,0.16666666666666666,12
CCL,0.5782051282051283,0.5371794871794872,0.0,0.5371794871794872,780,0.0,0
EXPE,0.5692307692307692,0.5833333333333334,0.5549295774647888,0.7058823529411765,780,0.0,0
BKNG,0.6467532467532467,0.7038961038961039,0.6458333333333334,0.59375,770,0.35294117647058826,17
NKE,0.7115384615384616,0.7423076923076923,0.7150259067357513,0.7692307692307693,780,0.2,5
BBWI,0.5371794871794872,0.5628205128205128,0.5392809587217043,0.72,780,0.0,0
AAP,0.7307692307692307,0.782051282051282,0.7379400260756193,0.5714285714285714,780,0.0,1
BBY,0.6653846153846154,0.6410256410256411,0.6737400530503979,0.65,780,0.5,2
GPC,0.8641025641025641,0.8474358974358974,0.8682170542635659,0.45454545454545453,780,0.4,5
ULTA,0.7802056555269923,0.7583547557840618,0.7821011673151751,0.7777777777777778,778,0.5,6
TSCO,0.7128205128205128,0.7115384615384616,0.7124183006535948,0.631578947368421,780,0.5,4
AZO,0.5703564727954972,0.8611632270168855,0.5893271461716937,0.6363636363636364,533,0.6,5
ORLY,0.8354755784061697,0.8174807197943444,0.8409986859395532,0.5217391304347826,778,0.16666666666666666,6
DPZ,0.764102564102564,0.7230769230769231,0.7643979057591623,0.6086956521739131,780,0.45454545454545453,11
DRI,0.8102564102564103,0.8076923076923077,0.8184210526315789,0.5714285714285714,780,0.0,0
YUM,0.8435897435897436,0.8217948717948718,0.8528645833333334,0.4444444444444444,780,0.0,0
CMG,0.6924119241192412,0.7439024390243902,0.6985507246376812,0.4666666666666667,738,0.3333333333333333,3
SBUX,0.7564102564102564,0.7512820512820513,0.761528326745718,0.6666666666666666,780,1.0,3
MCD,0.8871794871794871,0.8923076923076924,0.8946684005201561,0.7692307692307693,780,0.6666666666666666,3
LOW,0.7307692307692307,0.7512820512820513,0.7365661861074705,0.5882352941176471,780,0.0,0
HD,0.7782051282051282,0.7474358974358974,0.7821522309711286,0.5454545454545454,780,0.25,4
GM,0.7051282051282052,0.7243589743589743,0.712401055408971,0.5882352941176471,780,0.0,0
F,0.6653846153846154,0.6551282051282051,0.6653846153846154,0.0,780,0.0,0
TSLA,0.6294871794871795,0.6089743589743589,0.6,0.5747800586510264,780,0.0,0
ETSY,0.5602564102564103,0.573076923076923,0.49380530973451325,0.6309523809523809,780,0.4154929577464789,142
EBAY,0.65,0.6474358974358975,0.649867374005305,0.75,780,0.5,6
AMZN,0.5897435897435898,0.5564102564102564,0.615606936416185,0.49872773536895676,780,0.0,0
WBA,0.7756410256410257,0.7717948717948718,0.7801047120418848,0.6842105263157895,780,0.6666666666666666,3
UHS,0.7076923076923077,0.6961538461538461,0.7069408740359897,0.625,780,0.5,6
DVA,0.5807692307692308,0.6576923076923077,0.5617977528089888,0.631578947368421,780,0.2222222222222222,9
HCA,0.7128205128205128,0.7166666666666667,0.712987012987013,0.5833333333333334,780,0.3333333333333333,3
HSIC,0.7475862068965518,0.7103448275862069,0.7553342816500711,0.4782608695652174,725,0.3333333333333333,3
CAH,0.7794871794871795,0.7589743589743589,0.779639175257732,0.5625,780,0.16666666666666666,12
ABC,0.7397435897435898,0.7858974358974359,0.7601078167115903,0.5753424657534246,780,0.2857142857142857,35
MCK,0.7669902912621359,0.8025889967637541,0.7649006622516556,0.4117647058823529,618,0.0,3
