ticket,accuracy,precision,recall,f1_score,sample_size,num_interesting_bets,num_possible_bets
VLO,0.765625,0.6,0.0967741935483871,0.16666666666666666,640,25,155
BBY,0.7546875,0.6,0.12804878048780488,0.21105527638190955,640,35,164
BXP,0.85,0.6,0.030927835051546393,0.058823529411764705,640,5,97
XRAY,0.7996870109546166,0.6,0.023255813953488372,0.04477611940298507,639,5,129
MTCH,0.659375,0.6,0.05405405405405406,0.09917355371900827,640,20,222
GIS,0.921875,0.6,0.058823529411764705,0.10714285714285714,640,5,51
HBAN,0.8828125,0.5862068965517241,0.2125,0.3119266055045871,640,29,80
CE,0.7359375,0.5833333333333334,0.12,0.1990521327014218,640,36,175
CRL,0.7915129151291513,0.5833333333333334,0.06086956521739131,0.11023622047244094,542,12,115
GNRC,0.71875,0.5818181818181818,0.1693121693121693,0.26229508196721313,640,55,189
LNC,0.7640625,0.5789473684210527,0.20625,0.304147465437788,640,57,160
LUV,0.85625,0.5789473684210527,0.11578947368421053,0.19298245614035087,640,19,95
FOXA,0.9015625,0.575,0.3333333333333333,0.42201834862385323,640,40,69
GOOG,0.84375,0.5714285714285714,0.039603960396039604,0.07407407407407407,640,7,101
SNPS,0.8497652582159625,0.5666666666666667,0.17,0.26153846153846155,639,30,100
EOG,0.7796875,0.5614035087719298,0.21621621621621623,0.3121951219512195,640,57,148
NWL,0.8231611893583725,0.56,0.1206896551724138,0.19858156028368795,639,25,116
NXPI,0.7918622848200313,0.5581395348837209,0.17391304347826086,0.26519337016574585,639,43,138
KMI,0.884375,0.5555555555555556,0.06666666666666667,0.11904761904761904,640,9,75
COF,0.8328125,0.5555555555555556,0.046296296296296294,0.08547008547008547,640,9,108
ADBE,0.8421875,0.5555555555555556,0.049019607843137254,0.09009009009009009,640,9,102
KMB,0.94375,0.5555555555555556,0.2631578947368421,0.35714285714285715,640,18,38
SBNY,0.709375,0.546875,0.18229166666666666,0.2734375,640,64,192
CMCSA,0.853125,0.5454545454545454,0.06315789473684211,0.11320754716981132,640,11,95
CVS,0.915625,0.5428571428571428,0.3333333333333333,0.4130434782608695,640,35,57
VRSN,0.8812056737588653,0.5384615384615384,0.10294117647058823,0.17283950617283952,564,13,68
KR,0.89375,0.5333333333333333,0.11594202898550725,0.1904761904761905,640,15,69
WELL,0.8625204582651391,0.53125,0.19767441860465115,0.28813559322033894,611,32,86
VRSK,0.859375,0.5294117647058824,0.0989010989010989,0.16666666666666669,640,17,91
WAT,0.8143236074270557,0.5294117647058824,0.1267605633802817,0.20454545454545459,377,17,71
HPE,0.834375,0.5283018867924528,0.25688073394495414,0.34567901234567905,640,53,109
ALGN,0.7140625,0.525,0.11351351351351352,0.18666666666666668,640,40,185
URI,0.803125,0.5238095238095238,0.08661417322834646,0.14864864864864866,640,21,127
